"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","class","producer","data_arc","first_obs","last_obs","condition_code","rms","two_body","A1","A2","A3","DT"
2333510,"333510 (2005 MD)",333510,,,Y,N,18.83,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.6076,1.759,0.690,20.74,188.93,202.52,159.49,2.83,0.4224,2459622.95,2022-02-12.4,852,2.33,0.256,99.6,2.66,APO,"Otto Matic",5420,2005-06-17,2020-04-19,0,.53416,,,,,
2333521,"333521 (2005 PO)",333521,,,Y,Y,20.08,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.3732,1.252,0.785,12.51,300.49,249.53,284.43,1.72,0.7034,2460107.93,2023-06-12.4,512,1.4,0.0176,6.85,3.3,APO,"Otto Matic",6286,2005-08-03,2022-10-19,0,.54705,,,,,
2333555,"333555 (2005 VY17)",333555,,,Y,N,17.33,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4390,1.985,1.113,25.40,79.04,66.63,27.78,2.86,0.3525,2459921.71,2022-12-08.2,1.02e+03,2.8,0.295,115,2.61,AMO,"Otto Matic",7397,2002-11-03,2023-02-03,0,.43117,,,,,
2333578,"333578 (2006 KM103)",333578,,,Y,Y,20.20,,,,,,,0.204,,0.352,5.737,,2460000.5,60000,2023-02-25.0,J2000,0.3767,1.573,0.981,11.68,169.46,197.00,96.05,2.17,0.4995,2459808.19,2022-08-16.6,721,1.97,0.0142,5.51,3.3,APO,"Otto Matic",8290,2000-05-10,2023-01-20,0,.41605,,,,,
2333707,"333707 (2008 YT30)",333707,,,Y,N,19.41,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2755,1.27,0.920,16.14,269.55,334.14,181.54,1.62,0.6887,2460259.63,2023-11-11.1,523,1.43,0.0718,27.9,3.43,APO,"Otto Matic",7639,2001-12-24,2022-11-23,0,.42162,,,,,
2333755,"333755 (2010 VC1)",333755,,,Y,N,19.32,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.5587,1.156,0.510,20.96,182.23,2.25,237.35,1.80,0.793,2460155.16,2023-07-29.6,454,1.24,0.332,129,3.15,APO,"Otto Matic",8032,2000-10-01,2022-09-28,0,.49006,,,,,
2333888,"333888 (1998 ST4)",333888,,,Y,N,16.82,,,,,,,,,,5.316,,2460000.5,60000,2023-02-25.0,J2000,0.5909,2.836,1.160,9.15,238.63,207.91,29.22,4.51,0.2064,2459858.92,2022-10-06.4,1.74e+03,4.78,0.188,73.2,0.833,AMO,"Otto Matic",8929,1998-08-18,2023-01-28,0,.35999,,,,,
2333889,"333889 (1998 SV4)",333889,,,Y,N,18.25,,,,,,,0.919,,0.110,2.817,,2460000.5,60000,2023-02-25.0,J2000,0.6420,0.8165,0.292,53.30,177.25,359.52,205.98,1.34,1.336,2460115.80,2023-06-20.2,269,0.738,0.335,130,3.62,ATE,"Otto Matic",8408,1998-09-19,2021-09-26,0,.4338,,,,,
2333908,"333908 (1999 TN12)",333908,,,Y,N,17.84,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.3909,1.887,1.149,37.28,212.32,150.34,23.02,2.62,0.3804,2459939.99,2022-12-26.4,946,2.59,0.191,74.4,2.97,AMO,"Otto Matic",8378,1999-10-10,2022-09-17,0,.50892,,,,,
2334412,"334412 (2002 EZ2)",334412,,,Y,N,20.32,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.0459,1.249,1.192,13.03,181.07,186.41,162.80,1.31,0.7059,2459769.89,2022-07-09.3,510,1.4,0.188,73.1,3.76,AMO,"Otto Matic",6535,2002-03-09,2020-01-29,0,.44352,,,-5.0e-14,,
2334673,"334673 (2003 AL18)",334673,,,Y,N,18.00,,,,,,,0.570,,0.376,2.484,,2460000.5,60000,2023-02-25.0,J2000,0.4171,1.684,0.982,15.73,312.95,246.61,36.92,2.39,0.4509,2459918.62,2022-12-05.1,798,2.19,0.133,51.8,2.72,APO,"Otto Matic",6879,2003-01-07,2021-11-07,0,.4558,,,,,
2335746,"335746 (2007 EJ26)",335746,,,Y,N,18.35,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2690,1.641,1.200,29.04,176.34,224.42,313.75,2.08,0.4686,2460099.20,2023-06-03.6,768,2.1,0.259,101,3.48,AMO,"Otto Matic",5557,2007-03-11,2022-05-28,0,.54138,,,,,
2335758,"335758 (2007 EM88)",335758,,,Y,N,19.68,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.2676,1.651,1.209,3.58,78.23,337.08,289.14,2.09,0.4647,2460152.96,2023-07-27.4,775,2.12,0.221,86,3.27,AMO,"Otto Matic",5519,2007-03-15,2022-04-24,0,.61733,,,,,
2337053,"337053 (1996 XW1)",337053,,,Y,N,19.03,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4546,1.725,0.941,30.58,247.83,264.66,167.07,2.51,0.435,2459616.41,2022-02-05.9,828,2.27,0.242,94.2,3.15,APO,"Otto Matic",9363,1996-12-02,2022-07-22,0,.73919,,,,,
2337069,"337069 (1998 FX134)",337069,,,Y,N,18.69,,,,,,,,,,7.487,,2460000.5,60000,2023-02-25.0,J2000,0.4288,2.259,1.290,5.21,349.47,254.08,102.65,3.23,0.2903,2459646.89,2022-03-08.3,1.24e+03,3.4,0.295,115,1.84,AMO,"Otto Matic",8961,1998-03-20,2022-10-01,0,.58588,,,,,
2337075,"337075 (1998 QC1)",337075,,,Y,Y,19.82,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.5901,1.983,0.813,9.65,308.35,115.44,250.06,3.15,0.3529,2460312.04,2024-01-02.5,1.02e+03,2.79,0.0175,6.81,2.3,APO,"Otto Matic",5347,1998-08-17,2013-04-07,0,.52797,,,,,
2337084,"337084 (1998 SE36)",337084,,,Y,N,19.82,,,,,,,,,,11.855,,2460000.5,60000,2023-02-25.0,J2000,0.0992,1.341,1.208,11.68,199.22,27.18,28.78,1.47,0.6344,2459955.14,2023-01-10.6,567,1.55,0.212,82.7,3.49,AMO,"Otto Matic",8211,1998-09-26,2021-03-20,0,.51241,,,,,
2337118,"337118 (1999 TX2)",337118,,,Y,N,18.36,,,,,,,,,,,,2460000.5,60000,2023-02-25.0,J2000,0.4637,1.281,0.687,61.38,179.95,53.54,121.38,1.87,0.6798,2459821.95,2022-08-30.4,530,1.45,0.198,77,3.41,APO,"Otto Matic",8028,1999-09-30,2021-09-22,0,.49818,,,,,
2337119,"337119 (1999 TK12)",337119,,,Y,N,18.61,,,,,,,0.521,,0.235,,,2460000.5,60000,2023-02-25.0,J2000,0.3929,1.683,1.021,24.50,359.05,112.22,201.12,2.34,0.4516,2460352.32,2024-02-11.8,797,2.18,0.195,75.8,2.98,AMO,"Otto Matic",8159,1999-10-10,2022-02-10,0,.4775,,,,,
